State,Latitude,Longitude,FileName
Delhi,28.7041,77.1025,DelhiStatePolicies.txt
Uttarakhand,30.06912534,79.01912739,UttarakhandPolicies.txt
Uttar Pradesh,26.84900185,80.94633019,UttarPradeshPolicies.txt
Bihar,25.59656758,85.13756382,BiharPolicies.txt
Madhya Pradesh,23.26245274,77.41261431,MadhyaPradeshPolicies.txt
Gujarat,23.02250115,72.57170473,GujaratPolicies.txt
Maharashtra,19.07614263,72.87799851,MaharashtraPolicies.txt
Kerala,8.523798001,76.93663685,KeralaPolicies.txt
Tamil Nadu,13.08585473,80.27003102,TamilNaduPolicies.txt
Karnataka,12.98540902,77.59247549,KarnatakaPolicies.txt
Telangana,17.38815349,78.48649862,TelanganaPolicies.txt
Andhra Pradesh,16.51571906,80.51645158,AndhraPradeshPolicies.txt
