Country,Production(tonnes)(2019),Reserve(Tonnes),Resources(Tonnes),Production(tonnes)(2018),latitude,longitude
Argentina,6400,1700000,17000000,6400,-38.416097,-63.616672
Australia,42000,2800000,6300000,58800,-25.274398,133.775136
Austria,,,75000,,47.516231,14.550072
Bolivia,,,21000000,,-16.290154,-63.588653
Brazil,300,95000,400000,300,-14.235004,-51.92528
Canada,200,370000,1700000,,56.130366,-106.346771
Chile,18000,8600000,8600000,17000,-35.675147,-71.542969
Czech Republic,,,1300000,,49.817492,15.472962
DR Congo,,,3000000,,-0.228021,15.827659
Finland,,,40000,,61.92411,25.748151
Germany,,,2500000,,51.165691,10.451526
Kazakhstan,,,40000,,48.019573,66.923684
Mali,,,1000000,,17.570692,-3.996166
Mexico,,,1700000,,23.634501,-102.552784
Namibia,500,,9000,500,-22.95764,18.49041
PRC,7500,1000000,4500000,7100,35.86166,104.195397
Peru,,,130000,,-9.189967,-75.015152
Portugal,1200,60000,250000,800,39.399872,-8.224454
Russia,,,1000000,,61.52401,105.318756
Serbia,,,1000000,,44.016521,21.005859
Spain,,,300000,,40.463667,-3.74922
USA,870,630000,6800000,,37.09024,-95.712891
Zimbabwe,1600,230000,540000,1600,-19.015438,29.154857
